English Word	English Sentence
Invisible	When he does not move, the artic fox is completely invisible thanks to its white fur.
Guest	I know most of the guests who are coming tomorrow.
Unintentional (peine, insulte)/ Involuntary (sourire, mouvement)	It is unintentional, believe me.
Incredible (unimaginable)	What an incredible result !
Unworkable (ici)	He might have finally understand that the project was unworkable.
Irreversible	I am afraid that you have done is irreversible.
To irrigate	Maize crops need to be irrigated because they drink a lot of water.
Irritable	He looks irritable tonight, he surely have worked for the entire afternoon.
Insulation	The insulation has to be redone, the house is freezing during the winter.
Remote	He lives in an remote village up in the mountains.
Isolation	Isolation has been all the more difficult for him to endure since he did not have any means of communication.
Polling booth	The polling booths have been put up for tomorrow's elections.
Italics	I advise you to put this sentence in italics.
Route	Whatever route you take, you will not be on time for your appointment.
Drunk	You will not go anywhere as long as you will be drunk.
???	He was fined for driving under the influence of alcohol.
Drunkard	They are such drunkards !
January	My little brother's birthday is on January, 10th.
Thursday	Today is Thursday, Thursday, May 4th.
Journalism	Journalism is a dangerous profession where I live.
Journalist	How many journalists attended this meeting ?
Verdict	I find it incredible that the verdict has been postponed again.
To try	Sooner or later he would be tried for what he did.
Twin	They are twins.
To take one's revenge	He sweared he would take his revenge.
Jurist	Whichever status you choose for your company, I advise you to take an appointment with a jurist.
Until	I am going to work until eight tonight.
Written proof	There is no need to give written proof.
To hoot (one's horn)	Why is the car behind us hooting ?
Most of	Most of my friends are making French mistakes when they speak.
Coward	What a shame ! I think you are a real coward not to face your responsabilities.
To let go	Let go of my hand.
Gap	You have made little progress since I last saw you, you still have huge gaps in mathematics.
Secular	France is a secular country.
To let	Why won't you let your brother cook ?
Strip	The strip of the knife is made of stainless steel.
Spear	Most of the spears which are on display in this museum date back to the Middle Ages.
Launching	The launching of the rocket has been postponed because the weather conditions were unfavorable.
Catapult	The children are playing with a catapult.
To stone (to death)	He will be stoned to death next week.
Larva	Last month, it was very cold. Every mosquitoe larva died.
Bathroom sink (US)/ Washbasin	Come here to help me fix the bathroom sink.
Dishwasher	These dishwashers are made in Europe while those ones are made in Asia.
To lick	You can lick the spoon I have used to bake the chocolate cake.
Reading	There are numerous activies during the day : swimming, reading, tennis.
Slightly (ici)	It is an old boat which hull is slightly damaged.
~ Legislative elections	They will probably not win the next legislative elections.
Legitimate	The authority of this politician is even less legitimate that he has not been elected.
To matter little	It matters little if you are tired, you have to go to class on Saturday mornings.
Lever	Could you go and fetch a lever ? The stone is too heavy to be lift up with bare hands.
Liana	The tree was covered in lianas.
Liberalism	He must have spent the night revising his notes on liberalism.
Liberation	The fiftieth anniversary of the liberation of Paris has been celebrated in 1994.
To free	Hardly had I been freed from prison that I found a job.
Self-service	Food is on self-service, nothing prevents you from helping yourself again.
Cork	The stoppers of wine bottles are generally made of cork.
(Limited)	The speed limit is 50 km/h, slow down a bit.
