English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
cortege	cortejo	A funeral is a pageant whereby we attest our respect for the dead by enriching the undertaker, and strengthen our grief by an expenditure that deepens our groans and doubles our tears.	A funeral is a pageant whereby we attest our respect for the dead by enriching the undertaker, and strengthen our grief by an expenditure that deepens our groans and doubles our tears.	O funeral é um cortejo por meio do qual demonstramos respeito pelo morto enriquecendo o dono da funerária, e intensificamos nossa dor com uma despesa que nos aprofunda os gemidos e duplica as lágrimas.	O funeral é um cortejo por meio do qual demonstramos respeito pelo morto enriquecendo o dono da funerária, e intensificamos nossa dor com uma despesa que nos aprofunda os gemidos e duplica as lágrimas
cost	custo	Life is cheaper here.	So the road toward equality of freedom is not easy, and great cost and danger march alongside us	O custo de vida é mais baixo aqui.	Assim, o caminho para a igualdade da liberdade não é fácil, e grandes custo e perigo marcham ao nosso lado
costume	traje	I like your costume.	Fashion was one of the first to adapt to the new house-bound reality, making sweatpants the new American go-to attire.	Gosto do seu traje.	A moda foi uma das primeiras a adaptar-se à nova realidade confinada, tornando as calças de treino no novo traje americano de escolha
cotton	algodão	Cotton absorbs water.	They planted cotton on a small piece of land, raised it, gathered it, and removed the seeds by hand, and having obtained a card, spinning wheel, and loom, my late grandmother would draw out the cotton and spin it into rolls	O algodão absorve água.	Eles plantavam algodão num pequeno pedaço de terra, cultivavam-no, recolhiam-no e retiravam as sementes à mão, e tendo obtido uma carda, uma roda de fiar e um tear, a minha falecida avó desembaraçava o algodão e fiava-o em rolos
couch	sofá	Lie on the couch.	Holmes walked past the couch to the open window, and held up the drooping stalk of a moss-rose, looking down at the dainty blend of crimson and green	Deite-se no sofá.	O Holmes passou o sofá até à janela aberta e levantou a haste descaída de uma onze-horas, debruçando-se sobre a mistura delicada de carmesim e verde
Couchette	Couchette				
cough	tosse	I have a cough.	Ferdinand won't give the speech because he's got a cough	Eu estou com tosse.	Fernando não discursará porque ficou com tosse
cough	tosse	I have a cough.	Ferdinand won't give the speech because he's got a cough	Eu estou com tosse.	Fernando não discursará porque ficou com tosse
countryside	campo	Go in the field.	Mary is said to have sung so beautifully that, when one day she ventured on to a battlefield, the opposing soldiers dropped their weapons, forgot their enmity and sat down together just to listen to her; the birds are said to have fallen silent; the trees, to have uprooted themselves and moved closer; the stones, they say, rose from the riverbed and mounted the bank, and the wind blew only to carry her melodious voice.	Vá ao campo.	Dizem que Maria cantava tão lindamente que, quando um dia se aventurou em um campo de batalha, os soldados inimigos largaram as armas, esqueceram a inimizade e se sentaram juntos apenas para ouvi-la; dizem que os pássaros se calaram, as árvores se desenraizaram e se aproximaram; e as pedras, é o que dizem, deixando o leito do rio subiram até à margem, enquanto o vento soprava somente para levar aquela voz melodiosa
county	município	Viana is a Brazilian municipality with an estimate population of 65000.	A gritty story of redemption and hope in a ramshackle urban township is the South African entry for this year's Academy Awards and one of the five finalists for Best Foreign Language Film.	Viana é um município brasileiro de aproximadamente 65 mil habitantes.	Uma história corajosa de redenção e esperança num município urbano decrépito é a entrada sul-africana para os Prémios da Academia deste ano e um dos cinco finalistas para Melhor Filme em Língua Estrangeira
court	quadra	He is now playing tennis on the court.	Helen Moody was noted as a tennis player for not showing any expression on the court	Ele agora está jogando tênis na quadra.	Helen Moody era conhecida como uma jogadora de tênis cujo rosto nunca demonstrou suas emoções na quadra
cousin	prima	I love my cousin.	“The Satanic Verses” by Salman Rushdie is a real masterpiece of modern literature.	Eu amo minha prima.	Os Versos Satânicos de Salman Rushdie é uma verdadeira obra prima da literatura moderna
cousin	prima	I love my cousin.	“The Satanic Verses” by Salman Rushdie is a real masterpiece of modern literature.	Eu amo minha prima.	Os Versos Satânicos de Salman Rushdie é uma verdadeira obra prima da literatura moderna
cover	cobrir	I'll cover for you.	This satellite image provided by the National Oceanic and Atmospheric Administration shows a thunderstorm complex which was found to contain the longest single flash that covered a horizontal distance on record, at around 768 kilometers across parts of the southern United States	Eu vou te cobrir.	Esta imagem de satélite fornecida pela Administração Nacional Oceânica e Atmosférica mostra um complexo de trovoadas que se verificou conter o maior relâmpago individual jamais registado a cobrir uma distância horizontal, com cerca de 768 quilómetros atravessando partes do sul dos Estados Unidos
cover	cobrir	I'll cover for you.	This satellite image provided by the National Oceanic and Atmospheric Administration shows a thunderstorm complex which was found to contain the longest single flash that covered a horizontal distance on record, at around 768 kilometers across parts of the southern United States	Eu vou te cobrir.	Esta imagem de satélite fornecida pela Administração Nacional Oceânica e Atmosférica mostra um complexo de trovoadas que se verificou conter o maior relâmpago individual jamais registado a cobrir uma distância horizontal, com cerca de 768 quilómetros atravessando partes do sul dos Estados Unidos
cow	vaca	The cow ate.	Instead of children’s books about elephants and lions, a more honest representation of Earth’s animals would be “a cow next to another cow, next to another cow next to a chicken,” Milo said	A vaca comeu.	"Em vez de livros infantis sobre elefantes e leões, uma representação mais honesta dos animais da Terra seria ""uma vaca ao lado de outra vaca, ao lado de outra vaca ao lado de uma galinha"", disse o Milo"
